Country;GDP per capita (constant US$);;;;;
Argentina;12,625.5;;;;;
USA;65,020.4;;;;;
India;2,239.3;;;;;
United Kingdom;47,005.1;;;;;
France;38,975.6;;;;;
Japan;37,079.1;;;;;
Italy;33,774.0;;;;;
Canada;44,388.4;;;;;
Honk Kong;43,548.3;;;;;
Mexico;10,327.0;;;;;
Australia;61,340.7;;;;;
South Korea;34,121.0;;;;;
Germany;42,878.8;;;;;
Spain;28,047.0;;;;;
Netherlands;50,100.2;;;;;
Denmark;61,031.8;;;;;
Russia;10,420.6;;;;;
Sweden;55,521.4;;;;;
Philippines;3,667.6;;;;;
Poland;17,270.0;;;;;
Iran;5,739.9;;;;;